DATA INICIAL,DATA FINAL,REGIAO,ESTADOS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,RORAIMA,OLEO DIESEL,12,R$/l,7.6,0.08192291276781874,7.54,7.84,0.010775785960910061
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,SANTA CATARINA,OLEO DIESEL,82,R$/l,7.14,0.24466132439665533,6.6,7.766,0.034283833240261935
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,SERGIPE,OLEO DIESEL,17,R$/l,6.78,0.20484929898371046,6.58,7.39,0.030220493201420718
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,SAO PAULO,OLEO DIESEL,600,R$/l,7.19,0.28090110140434243,6.29,8.21,0.0390771060710742
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,TOCANTINS,OLEO DIESEL,25,R$/l,7.19,0.266894486017727,6.69,7.69,0.03713984276371275
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,ACRE,OLEO DIESEL S10,39,R$/l,7.98,0.3559621353955466,7.76,8.7,0.04461508058780315
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,ALAGOAS,OLEO DIESEL S10,52,R$/l,7.19,0.4729185960519044,6.79,8.46,0.06576972295960934
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,AMAPA,OLEO DIESEL S10,9,R$/l,7.58,0.2618576797507464,7.3,8.09,0.03456379274448646
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,AMAZONAS,OLEO DIESEL S10,57,R$/l,7.44,0.48310114550886774,7.09,8.99,0.06496109420106173
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,BAHIA,OLEO DIESEL S10,279,R$/l,7.08,0.36618830304703354,6.52,8.49,0.05173749365095916
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,CEARA,OLEO DIESEL S10,205,R$/l,7.48,0.30583546618541996,6.59,8.39,0.04086260512976911
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,DISTRITO FEDERAL,OLEO DIESEL S10,37,R$/l,7.39,0.26035809251171027,7.07,7.99,0.035251763541308156
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,ESPIRITO SANTO,OLEO DIESEL S10,86,R$/l,7.28,0.23641535940252,6.89,8.49,0.03249022256950751
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,GOIAS,OLEO DIESEL S10,191,R$/l,7.45,0.20527616170098636,6.88,7.99,0.02754086437109953
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,MARANHAO,OLEO DIESEL S10,109,R$/l,7.45,0.3107938439796667,6.98,8.19,0.041725375562297704
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,MATO GROSSO,OLEO DIESEL S10,139,R$/l,7.63,0.2822679128822373,7.05,8.33,0.036998175094064376
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,MATO GROSSO DO SUL,OLEO DIESEL S10,72,R$/l,7.29,0.26502177546580685,6.89,7.83,0.036345357170153414
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,MINAS GERAIS,OLEO DIESEL S10,410,R$/l,7.36,0.24914193784689914,6.89,7.99,0.033834106867925075
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,PARANA,OLEO DIESEL S10,289,R$/l,7.17,0.2603552095878898,6.69,7.99,0.03630195925433374
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PARAIBA,OLEO DIESEL S10,57,R$/l,7.37,0.18508956038471894,7.08,7.96,0.025127884267417324
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,PARA,OLEO DIESEL S10,108,R$/l,7.61,0.3812273065498578,6.94,8.85,0.05011193416806866
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PERNAMBUCO,OLEO DIESEL S10,173,R$/l,7.13,0.21605010173072633,6.65,7.9,0.030313355940802575
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PIAUI,OLEO DIESEL S10,62,R$/l,7.36,0.24287869023502298,7.05,8,0.03298166131308694
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,RIO DE JANEIRO,OLEO DIESEL S10,296,R$/l,7.37,0.26477556637594496,6.79,8.29,0.03593418639547538
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,RIO GRANDE DO NORTE,OLEO DIESEL S10,57,R$/l,7.63,0.25777800283745533,6.96,7.99,0.033786245557085696
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,RIO GRANDE DO SUL,OLEO DIESEL S10,315,R$/l,7.17,0.29969807902356904,6.65,7.99,0.04181499683449698
